提交时间,姓名,学号,手机号,微信号（选填）,年级,专业,意向部门（可多选）,每周可投入时间,为什么想加入（选填）
2026-09-20 10:02:11,张三,2026010101,10000000001,无,大一,汉语言文学,摄影组、后期组,每周2-3小时,想学拍照
2026-09-20 10:15:40,李四,2026020202,100-0000-0002,lisi_2026,大一,计算机科学与技术,后期组,每周3小时以上,
2026-09-20 10:31:05,王五,2025030303,10000000003,同手机号,大二,视觉传达设计,宣传组┋摄影组,每周2-3小时,
2026-09-20 11:02:47,赵六,2026040404,+86 100 0000 0004,,大一,法学,外联组,每周1-2小时,
2026-09-20 11:20:13,张三,2026010101,10000000001,无,大一,汉语言文学,摄影组,每周2-3小时,想学拍照，改成只报摄影组
2026-09-20 12:45:30,孙七,2026050505,10000000005,无,大一,汉语言文学,摄影组,每周1-2小时,
2026-09-20 13:10:02,周八,,10000000006,zhouba_photo,大三,新闻学,宣传组,每周2-3小时,
2026-09-20 14:22:18,李四,2026020202,10000000002,lisi_2026,大一,计算机科学与技术,后期组、宣传组,每周3小时以上,
,,,,,,,,,
2026-09-21 09:05:44,吴九,2026060606,,,大一,数学与应用数学,摄影组,每周1-2小时,
2026-09-21 09:40:10,郑十,2026070707,10000000008,无,大一,汉语言文学,,每周2-3小时,
2026-09-21 10:12:55,王五,2025030399,10000000009,无,大二,视觉传达设计,摄影组,每周2-3小时,
2026/9/21 10:30,周八,,100 0000 0006,,大三,新闻学,宣传组、摄影组,每周2-3小时,
2026-09-21 11:00:00,冯十一,2026080808,,feng11,大一,法学,外联组、宣传组,每周1-2小时,
2026-09-21 11:30:00,陈十二,2026090909,10000000010,无,研一,统计学,后期组,每周3小时以上,
2026-09-21 12:05:31,冯十一,2026080808,,Feng11,大一,法学,外联组,每周1-2小时,
